"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","1050"
">","THREAD_COUNT:","7"
">","NEEDLE_COUNT:","0"
">","EXTENTS_LEFT:","0"
">","EXTENTS_TOP:","0"
">","EXTENTS_RIGHT:","375"
">","EXTENTS_BOTTOM:","398.0"
">","EXTENTS_WIDTH:","375"
">","EXTENTS_HEIGHT:","398.0"
">","COMMAND_COLOR_CHANGE","7"
">","COMMAND_JUMP","20"
">","COMMAND_STITCH","1022"
">","COMMAND_END","1"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","444","STITCH","205","149.0"
"*","445","STITCH","215","149.0"
"*","446","STITCH","217","151.0"
"*","447","STITCH","221","151.0"
"*","448","STITCH","209","153.0"
"*","449","STITCH","220","153.0"
"*","450","STITCH","204","155.0"
"*","451","STITCH","217","155.0"
"*","452","STITCH","205","157.0"
"*","453","STITCH","212","157.0"
"*","454","COLOR_CHANGE","212","157.0"
"*","455","JUMP","212","157.0"
"*","456","STITCH","129","322.0"
"*","457","STITCH","304","322.0"
"*","458","STITCH","129","324.0"
"*","459","STITCH","304","324.0"
"*","460","STITCH","126","326.0"
"*","461","STITCH","296","326.0"
"*","462","STITCH","126","328.0"
"*","463","STITCH","304","328.0"
"*","464","STITCH","146","330.0"
"*","465","STITCH","293","330.0"
"*","466","STITCH","126","332.0"
"*","467","STITCH","283","332.0"
"*","468","STITCH","125","334.0"
"*","469","STITCH","287","334.0"
"*","470","STITCH","124","336.0"
"*","471","STITCH","287","336.0"
"*","472","STITCH","207","338.0"
"*","473","STITCH","283","338.0"
"*","474","STITCH","124","340.0"
"*","475","STITCH","287","340.0"
"*","476","STITCH","137","342.0"
"*","477","STITCH","283","342.0"
"*","478","STITCH","126","344.0"
"*","479","STITCH","287","344.0"
"*","480","STITCH","124","346.0"
"*","481","STITCH","291","346.0"
"*","482","STITCH","124","350.0"
"*","483","STITCH","294","350.0"
"*","484","STITCH","294","352.0"
"*","485","STITCH","348","352.0"
"*","486","STITCH","125","354.0"
"*","487","STITCH","293","354.0"
"*","488","STITCH","125","356.0"
"*","489","STITCH","182","356.0"
"*","490","STITCH","127","358.0"
"*","491","STITCH","183","358.0"
"*","492","STITCH","127","360.0"
"*","493","STITCH","348","360.0"
"*","494","STITCH","128","362.0"
"*","495","STITCH","347","362.0"
"*","496","STITCH","129","364.0"
"*","497","STITCH","343","364.0"
"*","498","STITCH","132","366.0"
"*","499","STITCH","343","366.0"
"*","500","STITCH","132","368.0"
"*","501","STITCH","335","368.0"
"*","502","STITCH","134","370.0"
"*","503","STITCH","335","370.0"
"*","504","STITCH","135","372.0"
"*","505","STITCH","331","372.0"
"*","506","STITCH","139","374.0"
"*","507","STITCH","328","374.0"
"*","508","STITCH","139","376.0"
"*","509","STITCH","319","376.0"
"*","510","STITCH","143","378.0"
"*","511","STITCH","278","378.0"
"*","512","STITCH","143","380.0"
"*","513","STITCH","244","380.0"
"*","514","STITCH","147","382.0"
"*","515","STITCH","166","382.0"
"*","516","STITCH","151","384.0"
"*","517","STITCH","170","384.0"
"*","518","STITCH","156","386.0"
